Time,atenolol,atenolol_fit,s_at,s_at_fit,antipyrine,antipyrine_fit,s_an,s_an_fit,prazosin,prazosin_fit,s_pra,s_pra_fit,labetalol,labetalol_fit,s_la,s_la_fit,propranolol,propranolol_fit,s_pro,s_pro_fit,diltiazem,diltiazem_fit,s_d,s_d_fit
0.5,0,8.53142e-16,0,1.66788e-09,0,1.68258e-09,0,-1.28937e-12,0,-5.93361e-17,0,-2.82158e-11,0,6.33919e-16,0.000206453,6.17591e-10,0,-4.14313e-13,0,7.58365e-11,0,1.79621e-12,0,-5.20331e-13
1.5,0,2.88066e-09,0,5.52859e-07,0,1.73997e-06,0,5.56604e-07,0,-1.67986e-08,0,-9.73064e-07,0,-8.70427e-09,0.000371228,-6.6534e-07,0,4.81102e-07,0,6.34975e-07,0,-8.18362e-07,0,6.45418e-07
2.5,0,-2.18612e-07,0,0.000254398,0,0.000237573,0,2.09454e-07,0,1.1447e-07,0,3.39603e-05,0.001902932,-6.97456e-08,0.000232139,0.000166182,0,-3.58136e-07,0,4.6063e-05,0,-8.59893e-07,0,5.88838e-08
3.5,0,-9.36836e-07,0.007352754,0.002916354,0.000778903,0.001792875,0.001291592,5.49921e-05,0.000127794,-8.28369e-07,0.001162364,0.001067056,0.002310514,-8.85783e-07,0.002327686,0.003319062,0.000318274,4.95273e-06,0.001502634,0.001493406,0,2.82862e-05,0,3.84134e-05
4.5,0,4.94214e-06,0.009909166,0.014187449,0.006208969,0.008732804,0.00104416,0.001248221,0.001703915,1.3073e-07,0.007682171,0.009259982,0.001929398,2.69841e-06,0.038872788,0.032926182,0.002968173,0.000230021,0.013257111,0.014408957,0.0008330069,0.000884568,0,0.000975198
5.5,0,6.8904e-05,0.070716048,0.052935334,0.024835874,0.031513064,0.009872212,0.010184629,0.013098849,1.95489e-05,0.046155985,0.044705315,0.007545563,0.000109464,0.12865613,0.146824908,0.007451901,0.00286735,0.04754449,0.06033953,0.004556117,0.004075807,0.006934042,0.008529375
6.5,0,0.000516785,0.271824176,0.135847902,0.088505619,0.074409264,0.052167969,0.040264797,0.02433404,0.000448818,0.14157846,0.125858608,0.02331158,0.001675403,0.215588869,0.311433371,0.01543271,0.01134237,0.109857538,0.14447143,0.005221851,0.006354177,0.042578704,0.035187552
7.5,0.002390946,0.002575733,0.331259425,0.24690043,0.139089796,0.126868383,0.109847988,0.098246545,0.031415938,0.003499315,0.234969288,0.234648438,0.040816438,0.010060718,0.243995552,0.41205121,0.027620694,0.022808512,0.177364809,0.242077113,0.005055417,0.005849896,0.114399104,0.087839661
8.5,0.010583452,0.008918629,0.439903395,0.347816999,0.201237343,0.173296494,0.20677211,0.173646579,0.033226348,0.012382594,0.295873865,0.328595072,0.054917721,0.030019929,0.239545664,0.41180526,0.024782453,0.028197411,0.229327968,0.321156374,0.004868179,0.004462375,0.196257989,0.156681349
9.5,0.032435996,0.022742743,0.441992863,0.408931676,0.235898438,0.203778577,0.274920712,0.245931293,0.035090005,0.025445324,0.325912099,0.378149798,0.06248975,0.054662544,0.223028934,0.351860152,0.020383836,0.024504996,0.256268524,0.363759393,0.003807166,0.003450374,0.240676784,0.221870904
10.5,0.061355895,0.045594702,0.439158053,0.42261611,0.240308223,0.216358423,0.296367764,0.297827781,0.040787472,0.035855378,0.316928052,0.380272275,0.061105559,0.070670652,0.17832845,0.278829194,0.014590535,0.017390633,0.236032537,0.369023086,0.002704544,0.0029211,0.279395843,0.266989329
11.5,0.098222173,0.075914977,0.373630824,0.39796799,0.230862357,0.214202768,0.289654126,0.32207987,0.03237439,0.038856368,0.290397691,0.348803226,0.058673299,0.07253906,0.159647354,0.215976506,0.01187269,0.011904829,0.221716752,0.346162235,0.003099824,0.002654446,0.258249411,0.285801952
